theta_a,theta_d,x,y
52,104,-4.645888941,-77.84797369
52,105,-3.291777249,-76.65935256
52,106,-1.933853493,-75.44426274
52,107,-0.572381241,-74.20175193
52,108,0.792435825,-72.93085255
52,109,2.160456935,-71.63057407
52,110,3.531608203,-70.2998949
52,111,4.905887654,-68.93775364
52,112,6.28337146,-67.54303954
52,113,7.66422156,-66.11458191
52,114,9.048694915,-64.65113835
52,115,10.43715471,-63.15138133
52,116,11.83008391,-61.61388295
52,117,13.2281016,-60.03709729
52,118,14.63198295,-58.41933988
52,119,16.0426834,-56.7587635
52,120,17.46136842,-55.05332957
52,121,18.88945018,-53.30077369
52,122,20.32863313,-51.49856404
52,123,21.78097119,-49.64385048
52,124,23.24894021,-47.73340149
52,125,24.73553083,-45.7635253
52,126,26.24436893,-43.7299697
52,127,27.77987429,-41.627793
52,128,29.34747293,-39.45119503
52,129,30.95388665,-37.19329159
52,130,32.60753648,-34.84580684
52,131,34.31911917,-32.39864331
52,132,36.10245539,-29.83926277
52,133,37.97578254,-27.15176337
52,134,39.96381102,-24.31544408
52,135,42.1011727,-21.30245127
52,136,44.43860898,-18.07365157
52,137,47.05511602,-14.57071909
52,138,50.08496794,-10.69894607
52,139,53.790491,-6.282085618
52,140,58.83766329,-0.895832598
52,141,69.44088058,7.963248101
52,220,65.82051692,107.2902039
52,221,57.66164847,102.0360981
52,222,52.98056291,99.00852212
52,223,49.44148749,96.79295969
52,224,46.50866185,95.0436433
52,225,43.95583659,93.60642756
52,226,41.66321925,92.39542116
52,227,39.55887958,91.3564455
52,228,37.5959757,90.45247872
52,229,35.74221991,89.65676056
52,230,33.97440285,88.94912359
52,231,32.27529611,88.31386995
52,232,30.63178401,87.73846146
52,233,29.03367814,87.21266979
52,234,27.47293376,86.72800217
52,235,25.9431139,86.27730011
52,236,24.43901228,85.85445076
52,237,22.95638149,85.45417452
52,238,21.49173287,85.07186511
52,239,20.04218648,84.70346721
52,240,18.6053568,84.34538118
52,241,17.17926444,83.99438774
52,242,15.76226706,83.64758784
53,70,-27.31049302,-127.9835557
53,71,-32.77137271,-121.6846975
53,72,-34.31270544,-118.6239414
53,73,-34.95222395,-116.3360265
53,74,-35.12791412,-114.4497953
53,75,-35.011123,-112.816079
53,76,-34.68965132,-111.3565413
53,77,-34.21543845,-110.0237689
53,78,-33.6221458,-108.7863681
53,79,-32.9330261,-107.622214
53,80,-32.16492207,-106.5149781
53,81,-31.33049117,-105.4521743
53,82,-30.43953105,-104.4239805
53,83,-29.49981257,-103.4224898
53,84,-28.51762651,-102.4412127
53,85,-27.49815522,-101.4747356
53,86,-26.44573303,-100.5184773
53,87,-25.36403323,-99.56851345
53,88,-24.25620542,-98.62144436
53,89,-23.12497817,-97.67429613
53,90,-21.97273709,-96.72444355
53,91,-20.80158502,-95.76954996
53,92,-19.61338904,-94.80751936
53,93,-18.40981753,-93.83645785
53,94,-17.19236976,-92.85464212
53,95,-15.96239952,-91.86049356
53,96,-14.72113431,-90.85255646
53,97,-13.46969084,-89.82947976
53,98,-12.20908768,-88.79000131
53,99,-10.94025552,-87.73293437
53,100,-9.664045503,-86.65715571
53,101,-8.38123594,-85.56159507
53,102,-7.092537684,-84.44522569
53,103,-5.798598291,-83.30705564
53,104,-4.500005162,-82.14611977
53,105,-3.197287756,-80.96147215
53,106,-1.890918949,-79.75217877
53,107,-0.581315586,-78.51731044
53,108,0.731161748,-77.25593571
53,109,2.046209742,-75.96711372
53,110,3.363584167,-74.64988684
53,111,4.683102547,-73.30327291
53,112,6.004647745,-71.92625705
53,113,7.328172567,-70.51778284
53,114,8.653705539,-69.07674255
53,115,9.981358003,-67.60196651
53,116,11.31133278,-66.09221101
53,117,12.64393471,-64.54614474
53,118,13.97958339,-62.96233319
53,119,15.31882863,-61.33922073
53,120,16.66236927,-59.67510957
53,121,18.01107611,-57.9681352
53,122,19.36602003,-56.21623701
53,123,20.72850674,-54.41712326
53,124,22.10011992,-52.56822855
53,125,23.48277539,-50.66666178
53,126,24.87878974,-48.70914186
53,127,26.29096819,-46.69191715
53,128,27.72271859,-44.61066322
53,129,29.17820139,-42.4603512
53,130,30.66253023,-40.23507559
53,131,32.18204513,-37.92782441
53,132,33.74469261,-35.53016633
53,133,35.36056786,-33.03181372
53,134,37.04271067,-30.4199948
53,135,38.80831518,-27.67851978
53,136,40.68064708,-24.78633286
53,137,42.69224393,-21.71514791
53,138,44.89062225,-18.42532545
53,139,47.34938249,-14.85803038
53,140,50.19260634,-10.91839756
53,141,53.65921953,-6.432171055
53,142,58.33687745,-0.992104478
53,143,67.25496936,7.372205021
53,222,66.92631982,108.8066006
53,223,58.22611786,102.7216749
53,224,53.58329228,99.41297542
53,225,50.13249514,97.01294539
53,226,47.29846624,95.12187796
53,227,44.84572227,93.56724376
53,228,42.65156368,92.25453982
53,229,40.64306416,91.12481982
53,230,38.77307906,90.13813228
53,231,37.00929422,89.26578361
53,232,35.32858691,88.48626263
53,233,33.713859,87.78290023
53,234,32.15213776,87.1424344
53,235,30.63337631,86.5540841
53,236,29.14966387,86.00892617
53,237,27.69468746,85.49946148
53,238,26.26335427,85.01930412
53,239,24.8515202,84.5629531
53,240,23.4557904,84.12562116
53,241,22.07337013,83.70310398
53,242,20.70195137,83.29167853
54,72,-21.3487058,-131.6084743
54,73,-28.26475925,-124.5848552
54,74,-29.97940022,-121.5296978
54,75,-30.72872929,-119.2431074
54,76,-30.98838733,-117.3508373
54,77,-30.94122255,-115.7050112
54,78,-30.68020498,-114.2285422
54,79,-30.26009294,-112.8749623
54,80,-29.71627823,-111.6135799
54,81,-29.07316459,-110.4227998
54,82,-28.34840623,-109.2867018
54,83,-27.55525858,-108.1931213
54,84,-26.70397541,-107.1324943
54,85,-25.80268541,-106.097125
54,86,-24.85796658,-105.0806991
54,87,-23.87523641,-104.0779499
54,88,-22.85902486,-103.0844222
54,89,-21.81317044,-102.0962991
54,90,-20.74096398,-101.1102754
54,91,-19.64525622,-100.1234594
54,92,-18.52853948,-99.13329903
54,93,-17.39301073,-98.13752262
